## Ore Dictionary Info                      ##
##############################################
## In the form:                             ##
## <ore dictionary entry>                   ##
##     <item id registered> - <item damage> ##
##     etc...                               ##
##############################################
actinolite
contenttweaker:actinolite - 0
contenttweaker:actinolitebrick - 0
contenttweaker:actinolitechiseledbrick - 0
contenttweaker:actinolitecobblestone - 0
contenttweaker:actinolitecrackedbrick - 0
contenttweaker:actinolitecrackedshortbrick - 0
contenttweaker:actinolitedebossed - 0
contenttweaker:actinolitepolished - 0
contenttweaker:actinoliteshortbrick - 0
contenttweaker:actinolitemossybrick - 0
contenttweaker:actinolitemossychiseledbrick - 0
contenttweaker:actinolitemossydebossed - 0
contenttweaker:actinolitemossycobblestone - 0
contenttweaker:actinolitemossypolished - 0
contenttweaker:actinolitemossyshortbrick - 0
contenttweaker:actinolitelichenbrown - 0
contenttweaker:actinolitelichenorange - 0
contenttweaker:actinolitelichenred - 0
contenttweaker:actinolitelichenyellow - 0


aegirine
contenttweaker:aegirine - 0
contenttweaker:aegirinebrick - 0
contenttweaker:aegirinechiseledbrick - 0
contenttweaker:aegirinecobblestone - 0
contenttweaker:aegirinecrackedbrick - 0
contenttweaker:aegirinecrackedshortbrick - 0
contenttweaker:aegirinedebossed - 0
contenttweaker:aegirinepolished - 0
contenttweaker:aegirineshortbrick - 0


alabaster
contenttweaker:alabaster - 0
contenttweaker:alabasterbrick - 0
contenttweaker:alabasterchiseledbrick - 0
contenttweaker:alabastercobblestone - 0
contenttweaker:alabastercrackedbrick - 0
contenttweaker:alabastercrackedshortbrick - 0
contenttweaker:alabasterdebossed - 0
contenttweaker:alabasterpolished - 0
contenttweaker:alabastershortbrick - 0
contenttweaker:alabastermossybrick - 0
contenttweaker:alabastermossychiseledbrick - 0
contenttweaker:alabastermossydebossed - 0
contenttweaker:alabastermossycobblestone - 0
contenttweaker:alabastermossypolished - 0
contenttweaker:alabastermossyshortbrick - 0
contenttweaker:alabasterlichenbrown - 0
contenttweaker:alabasterlichenorange - 0
contenttweaker:alabasterlichenred - 0
contenttweaker:alabasterlichenyellow - 0


amazonite
contenttweaker:amazonite - 0
contenttweaker:amazonitebrick - 0
contenttweaker:amazonitechiseledbrick - 0
contenttweaker:amazonitecobblestone - 0
contenttweaker:amazonitecrackedbrick - 0
contenttweaker:amazonitecrackedshortbrick - 0
contenttweaker:amazonitedebossed - 0
contenttweaker:amazonitepolished - 0
contenttweaker:amazoniteshortbrick - 0
contenttweaker:amazonitemossybrick - 0
contenttweaker:amazonitemossychiseledbrick - 0
contenttweaker:amazonitemossydebossed - 0
contenttweaker:amazonitemossycobblestone - 0
contenttweaker:amazonitemossypolished - 0
contenttweaker:amazonitemossyshortbrick - 0
contenttweaker:amazonitelichenbrown - 0
contenttweaker:amazonitelichenorange - 0
contenttweaker:amazonitelichenred - 0
contenttweaker:amazonitelichenyellow - 0


ammolite
contenttweaker:ammolite - 0
contenttweaker:ammolitebrick - 0
contenttweaker:ammolitechiseledbrick - 0
contenttweaker:ammolitecobblestone - 0
contenttweaker:ammolitecrackedbrick - 0
contenttweaker:ammolitecrackedshortbrick - 0
contenttweaker:ammolitedebossed - 0
contenttweaker:ammolitepolished - 0
contenttweaker:ammoliteshortbrick - 0
contenttweaker:ammolitemossybrick - 0
contenttweaker:ammolitemossychiseledbrick - 0
contenttweaker:ammolitemossydebossed - 0
contenttweaker:ammolitemossycobblestone - 0
contenttweaker:ammolitemossypolished - 0
contenttweaker:ammolitemossyshortbrick - 0
contenttweaker:ammolitelichenbrown - 0
contenttweaker:ammolitelichenorange - 0
contenttweaker:ammolitelichenred - 0
contenttweaker:ammolitelichenyellow - 0


andesite
contenttweaker:sirenandesite - 0
contenttweaker:sirenandesitebrick - 0
contenttweaker:sirenandesitechiseledbrick - 0
contenttweaker:sirenandesitecobblestone - 0
contenttweaker:sirenandesitecrackedbrick - 0
contenttweaker:sirenandesitecrackedshortbrick - 0
contenttweaker:sirenandesitedebossed - 0
contenttweaker:sirenandesitepolished - 0
contenttweaker:sirenandesiteshortbrick - 0
contenttweaker:sirenandesitemossybrick - 0
contenttweaker:sirenandesitemossychiseledbrick - 0
contenttweaker:sirenandesitemossydebossed - 0
contenttweaker:sirenandesitemossycobblestone - 0
contenttweaker:sirenandesitemossypolished - 0
contenttweaker:sirenandesitemossyshortbrick - 0
contenttweaker:sirenandesitelichenbrown - 0
contenttweaker:sirenandesitelichenorange - 0
contenttweaker:sirenandesitelichenred - 0
contenttweaker:sirenandesitelichenyellow - 0
contenttweaker:moss_greenandesite - 0
contenttweaker:moss_greenandesitebrick - 0
contenttweaker:moss_greenandesitechiseledbrick - 0
contenttweaker:moss_greenandesitecobblestone - 0
contenttweaker:moss_greenandesitecrackedbrick - 0
contenttweaker:moss_greenandesitecrackedshortbrick - 0
contenttweaker:moss_greenandesitedebossed - 0
contenttweaker:moss_greenandesitepolished - 0
contenttweaker:moss_greenandesiteshortbrick - 0
contenttweaker:moss_greenandesitemossybrick - 0
contenttweaker:moss_greenandesitemossychiseledbrick - 0
contenttweaker:moss_greenandesitemossydebossed - 0
contenttweaker:moss_greenandesitemossycobblestone - 0
contenttweaker:moss_greenandesitemossypolished - 0
contenttweaker:moss_greenandesitemossyshortbrick - 0
contenttweaker:moss_greenandesitelichenbrown - 0
contenttweaker:moss_greenandesitelichenorange - 0
contenttweaker:moss_greenandesitelichenred - 0
contenttweaker:moss_greenandesitelichenyellow - 0
contenttweaker:figandesite - 0
contenttweaker:figandesitebrick - 0
contenttweaker:figandesitechiseledbrick - 0
contenttweaker:figandesitecobblestone - 0
contenttweaker:figandesitecrackedbrick - 0
